bed,bath,acre_lot,zip_code,house_size,price,city
2.0,1.0,4.74,623.0,1000.0,285000.0,297
7.0,4.0,0.11,680.0,2200.0,215000.0,1230
3.0,2.0,0.52,623.0,1205.0,115000.0,297
3.0,2.0,0.14,680.0,1200.0,140000.0,1230
3.0,1.0,0.04,682.0,778.0,87000.0,1230
4.0,2.0,0.08,623.0,3052.0,250000.0,297
3.0,1.0,0.08,683.0,894.0,70000.0,1818
5.0,5.0,0.08,680.0,1600.0,190000.0,1230
3.0,1.0,0.07,683.0,363.0,150000.0,1818
12.0,6.0,0.52,623.0,4800.0,750000.0,297
3.0,1.0,0.25,682.0,390.0,125000.0,1230
9.0,8.0,0.17,677.0,3852.0,950000.0,1732
5.0,4.0,1.8,677.0,6000.0,1200000.0,15
4.0,3.0,0.4,667.0,6500.0,495000.0,1057
3.0,1.0,0.19,682.0,778.0,90000.0,1230
3.0,2.0,0.25,623.0,2800.0,395000.0,297
1.0,1.0,0.13,680.0,471.0,82000.0,1230
2.0,2.0,0.52,623.0,1356.0,389000.0,297
3.0,2.0,0.2,623.0,1205.0,45000.0,297
3.0,2.0,0.26,623.0,1205.0,65000.0,297
3.0,2.0,0.49,623.0,1205.0,80000.0,297
3.0,2.0,2.82,623.0,1205.0,120000.0,297
3.0,2.0,0.28,623.0,1205.0,70000.0,297
4.0,2.0,20.4,660.0,1233.0,391000.0,956
3.0,2.0,14.34,623.0,1205.0,160000.0,297
3.0,2.0,16.22,623.0,1205.0,290000.0,297
4.0,2.0,17.97,660.0,1233.0,835000.0,956
4.0,2.0,0.44,680.0,761.5,159000.0,1230
6.0,3.0,0.25,610.0,1230.0,79000.0,48
3.0,2.0,0.15,610.0,1687.0,149900.0,48
2.0,1.0,0.13,610.0,826.0,106000.0,48
5.0,3.0,0.11,610.0,2327.0,165000.0,48
6.0,3.0,0.37,610.0,1230.0,140000.0,48
4.0,7.0,0.76,662.0,4000.0,450000.0,980
4.0,3.0,0.21,662.0,3066.0,485000.0,980
6.0,3.0,0.97,662.0,10000.0,1800000.0,980
6.0,4.0,16.0,662.0,3739.0,975000.0,980
4.0,2.0,0.49,677.0,2450.0,950000.0,1732
3.0,2.0,0.56,677.0,1688.0,349000.0,1732
3.0,1.0,0.25,612.0,878.0,39900.0,61
3.0,1.0,0.25,612.0,878.0,29900.0,61
1.0,3.0,0.13,612.0,10000.0,475000.0,61
4.0,3.0,0.24,612.0,3413.0,200000.0,61
4.0,2.0,0.1,612.0,2760.0,84900.0,61
5.0,2.0,0.49,612.0,2058.0,148000.0,61
1.0,1.0,0.14,612.0,800.0,39500.0,61
6.0,3.0,0.45,612.0,2900.0,220000.0,61
3.0,2.0,0.27,612.0,1100.0,75000.0,61
4.0,2.0,0.13,612.0,1000.0,110000.0,61
7.0,4.0,0.49,612.0,800.0,150000.0,61
4.0,2.0,0.09,612.0,2760.0,69900.0,61
6.0,3.0,0.09,612.0,2472.0,79000.0,61
3.0,1.0,0.09,612.0,1044.0,65000.0,61
5.0,3.0,0.08,612.0,2200.0,179000.0,61
3.0,2.0,0.86,612.0,3500.0,145000.0,61
3.0,1.0,0.13,612.0,1262.0,79000.0,61
5.0,2.0,0.42,612.0,6000.0,360000.0,61
3.0,2.0,0.03,612.0,1100.0,50000.0,61
3.0,2.0,0.25,612.0,1856.0,134900.0,61
3.0,1.0,0.08,612.0,1009.0,94600.0,61
3.0,2.0,0.34,612.0,1100.0,59900.0,61
7.0,3.0,0.31,612.0,2715.0,239000.0,61
3.0,3.0,0.19,612.0,2872.0,279000.0,61
